"Query_number","doc_number"
1090270,482756
1090270,59557
1090270,297862
1090270,35057
1090270,374960
1090270,196751
1090270,377588
1090270,77675
1090270,129716
1090270,392553
1090270,134062
118457,183462
118457,186197
118457,17152
118457,386709
118457,433240
118457,184454
118457,457327
118457,486873
118457,1658
118457,394074
118457,457754
118457,314174
118457,501164
118457,251182
118457,302630
118457,487062
342285,53862
342285,430151
342285,469162
342285,276029
342285,132368
342285,177654
342285,262956
342285,407268
342285,143162
342285,31538
342285,98985
342285,173228
342285,17829
89786,391739
89786,180398
89786,295900
89786,265892
89786,41015
89786,434669
89786,66821
89786,429743
89786,276357
89786,121919
89786,406842
89786,423341
89786,227672
89786,84825
89786,40353
89786,214666
92542,471092
92542,258556
92542,155843
92542,272542
92542,201508
92542,333359
92542,286123
92542,359649
92542,355740
92542,462123
92542,128121
92542,416030
92542,117720
92542,448963
92542,460866
141472,464688
141472,266847
141472,469765
141472,356381
141472,267592
141472,332240
141472,412505
141472,2551
141472,75015
141472,370437
141472,432268
141472,372842
141472,84546
141472,425054
141472,416699
141472,247712
141472,498679
141472,105840
196232,150110
196232,489705
196232,135713
196232,141048
196232,495185
196232,112543
196232,331382
196232,25992
196232,148235
196232,176177
196232,472901
196232,238028
196232,86871
196232,359467
196232,460633
196232,393937
196232,45111
196232,56788
196232,320040
196232,237324
196232,221904
1090184,422928
1090184,147829
1090184,311231
1090184,150256
1090184,366836
1090184,356932
1090184,132680
1090184,182736
1090184,71688
1090184,192585
1090184,274354
127876,120478
127876,85190
127876,368827
127876,37020
127876,246640
127876,381622
127876,361980
127876,190067
127876,96508
127876,15625
127876,271182
127876,451518
127876,28518
127876,210668
1090165,85146
1090165,425708
1090165,444610
1090165,132680
1090165,366345
1090165,192265
1090165,175906
1090165,212279
1090165,80251
1090165,170490
1090165,72512
1090165,194790
1090165,430813
1090165,147043
1090165,128114
127984,447564
127984,330258
127984,314142
127984,294703
127984,467399
127984,160980
127984,85633
127984,417085
127984,126019
127984,248685
127984,350050
127984,405896
127984,257350
1090151,111423
1090151,123890
1090151,482903
1090151,250625
1090151,344819
1090151,361035
1090151,134711
1090151,319954
1090151,29647
1090151,425607
1090151,33704
1090151,351168
1090151,328323
1090151,44876
1090151,78613
1090151,7731
1090151,425892
1090151,370110
1090132,284870
1090132,228907
1090132,188284
1090132,199624
1090132,258976
1090132,268113
1090132,469698
1090132,113900
1090132,256771
1090132,376159
1090132,484727
1090132,452255
1090132,459125
1090132,245348
1090115,469989
1090115,329990
1090115,69387
1090115,44353
1090115,447855
1090115,383967
1090115,123530
1090115,79938
1090115,408595
1090115,54673
1090115,250625
1090115,280613
1090115,79348
1090110,82811
1090110,357517
1090110,353170
1090110,276393
1090110,161047
1090110,306325
1090110,61754
1090110,81671
1090110,192290
1090110,223088
1090110,409538
1090110,55967
1090110,61654
1090110,150069
1090110,367327
1090110,135162
1090110,313073
1090110,477085
1090110,25038
1090110,174528
1090054,82448
1090054,275736
1090054,388654
1090054,412926
1090054,295347
1090054,239757
1090054,475848
1090054,139542
1090054,208964
1090054,112377
1090054,420384
1090054,365398
1090054,499004
1089693,470238
1089693,172725
1089693,92712
1089693,123794
1089693,13382
1089693,385324
1089693,491043
1089693,431376
1089693,142255
1089693,344394
1089693,101870
1089693,421073
1089693,318211
1089693,478733
1089693,179843
1089693,470546
1089693,174186
1089645,212813
1089645,202434
1089645,202545
1089645,485840
1089645,122406
1089645,150704
1089645,146003
1089645,200134
1089645,296429
1089645,261182
1089645,430046
1089645,177682
1089645,65736
1089645,103936
1089597,322855
1089597,87329
1089597,350656
1089597,377352
1089597,456609
1089597,432545
1089597,73180
1089597,501473
1089597,113244
1089597,444205
1089597,133340
1089511,456002
1089511,51955
1089511,118899
1089511,336367
1089511,486483
1089511,55286
1089511,336344
1089511,97319
1089511,159814
1089511,188607
1089511,93645
1089511,260710
1089511,469248
1089501,276553
1089501,420089
1089501,339959
1089501,344604
1089501,459503
1089501,488478
1089501,185913
1089501,42957
1089501,406423
1089501,334462
1089501,230295
1089501,121234
1089501,246213
1089501,277464
1089501,70808
1089443,204611
1089443,212051
1089443,222565
1089443,38834
1089443,269930
1089443,486767
1089443,294742
1089443,127858
1089443,432109
1089443,451874
1089443,207437
1089443,185854
1089443,304309
1089443,352478
1089443,274127
1089443,106094
1089438,267865
1089438,344867
1089438,74299
1089438,229356
1089438,21321
